Date,Open,High,Low,Close,Adj Close,Volume
2016-02-19,263.333008,263.333008,253.832993,255.283005,191.232010,5088966
2016-02-22,255.000000,256.649994,249.817001,253.132996,189.621445,4187106
2016-02-23,253.367004,253.983002,243.716995,245.350006,183.791229,3948507
2016-02-24,247.167007,257.566986,246.350006,256.299988,191.993805,6934908
2016-02-25,256.149994,256.583008,248.516998,254.716995,190.808014,6345588
2016-02-26,259.000000,259.000000,250.000000,254.899994,190.945099,3694398
2016-02-29,253.682999,262.666992,246.667007,256.416992,192.081497,29379696
2016-03-01,256.416992,266.617004,256.333008,264.566986,198.186615,2935047
2016-03-02,266.333008,271.666992,261.000000,262.200012,196.413544,3463908
2016-03-03,262.467010,264.282990,257.100006,263.316986,199.918884,3907266
2016-03-04,264.299988,272.632996,262.299988,271.733002,206.308624,5138232
2016-03-08,273.266998,278.282990,269.166992,273.632996,207.751114,4500384
2016-03-09,271.166992,274.000000,265.532990,266.450012,202.297577,5800557
2016-03-10,269.600006,269.600006,262.766998,264.717010,200.981842,4664613
2016-03-11,266.000000,271.649994,265.000000,267.882996,203.385559,4003893
2016-03-14,269.000000,270.983002,265.666992,268.250000,203.664185,3031815
2016-03-15,268.666992,273.299988,268.516998,270.299988,205.220596,3240372
2016-03-16,273.899994,274.416992,271.700012,272.799988,207.118683,4948587
2016-03-17,275.882996,289.799988,275.000000,288.282990,218.873917,12225855
2016-03-18,286.666992,287.950012,284.100006,285.632996,216.861938,5105454
2016-03-21,288.250000,293.299988,286.782990,290.016998,220.190399,5058696
2016-03-22,288.500000,295.933014,286.850006,290.233002,220.354401,4489725
2016-03-23,291.632996,293.333008,288.066986,289.500000,219.797897,3492933
2016-03-28,290.500000,295.733002,287.850006,291.200012,221.088562,5282454
2016-03-29,292.516998,296.450012,289.899994,291.333008,221.189575,4810161
2016-03-30,292.782990,302.500000,290.683014,300.382996,228.060608,7255341
2016-03-31,301.299988,307.299988,299.649994,301.433014,228.857819,8427816
2016-04-01,300.000000,300.000000,295.066986,295.750000,224.543076,2847495
2016-04-04,298.333008,299.132996,293.532990,295.666992,224.480087,2808822
2016-04-05,299.666992,303.299988,294.666992,296.799988,225.340256,4922274
2016-04-06,299.000000,299.333008,292.850006,296.717010,225.277267,5339904
2016-04-07,299.282990,301.266998,294.467010,295.016998,223.986557,4778736
2016-04-08,295.666992,300.500000,293.399994,299.882996,227.681015,1811370
2016-04-11,297.700012,306.617004,297.700012,305.733002,232.122528,3227400
2016-04-12,309.532990,313.266998,305.983002,306.950012,233.046524,4523286
2016-04-13,308.333008,311.000000,305.333008,308.549988,234.261230,3126750
2016-04-18,308.333008,326.566986,308.333008,323.299988,245.459976,6116310
2016-04-20,322.683014,323.233002,317.016998,318.083008,241.499008,3955512
2016-04-21,318.083008,328.316986,318.083008,323.583008,245.674835,3208590
2016-04-22,320.666992,325.983002,320.100006,321.967010,244.447891,1977723
2016-04-25,320.032990,327.333008,319.583008,326.100006,247.585800,1963446
2016-04-26,324.032990,327.950012,323.600006,325.266998,246.953354,2979375
2016-04-27,323.666992,331.583008,323.666992,327.450012,248.610809,2355948
2016-04-28,327.333008,329.750000,319.467010,320.916992,243.650711,3605892
2016-04-29,320.000000,327.166992,320.000000,326.000000,247.509903,1724394
2016-05-02,327.333008,329.066986,322.000000,323.183014,245.371124,1234971
2016-05-03,324.967010,325.333008,317.066986,317.967010,241.410965,2615100
2016-05-04,315.750000,320.666992,314.433014,315.683014,239.676880,2101491
2016-05-05,316.333008,317.066986,309.717010,312.933014,237.588989,2106765
2016-05-06,311.000000,315.000000,309.233002,313.066986,237.690704,3639726
2016-05-09,314.333008,316.666992,310.867004,312.333008,237.133453,2811441
2016-05-10,313.733002,314.299988,308.367004,309.117004,234.691757,3167340
2016-05-11,306.183014,309.183014,302.833008,306.516998,232.717773,3148638
2016-05-12,305.700012,311.117004,305.700012,308.816986,234.463974,2006505
2016-05-13,308.083008,311.666992,306.483002,309.266998,234.805664,1637106
2016-05-16,309.333008,310.299988,305.183014,307.566986,233.514938,2048220
2016-05-17,310.049988,316.183014,310.000000,315.100006,239.234253,3074298
2016-05-18,314.032990,319.367004,310.149994,311.032990,236.146393,4389615
2016-05-19,310.600006,316.500000,310.333008,314.416992,238.715652,3062916
2016-05-20,314.766998,315.750000,306.000000,306.833008,232.957687,2386458
2016-05-23,308.933014,310.700012,303.666992,307.299988,233.312225,2196210
2016-05-24,305.333008,308.382996,296.867004,298.649994,226.744858,3098973
2016-05-25,301.500000,313.566986,293.717010,305.799988,232.173355,2368647
2016-05-26,307.000000,310.333008,302.367004,308.933014,234.552078,3621822
2016-05-27,317.000000,341.566986,315.816986,337.333008,256.114319,17654760
2016-05-30,340.000000,341.316986,331.200012,333.149994,252.938400,3930579
2016-05-31,333.149994,335.983002,324.649994,326.833008,248.142303,6996798
2016-06-01,331.666992,332.000000,327.367004,329.032990,249.812637,3222198
2016-06-02,328.899994,335.500000,326.233002,334.367004,253.862366,4329798
2016-06-03,337.333008,344.649994,334.617004,337.500000,256.241028,5581194
2016-06-06,335.467010,336.433014,330.000000,331.416992,263.326019,3845928
2016-06-07,334.000000,334.083008,324.467010,325.416992,258.558716,3520614
2016-06-08,324.083008,328.467010,323.049988,326.717010,259.591675,3068823
2016-06-09,330.100006,335.266998,329.000000,332.483002,264.173035,3951108
2016-06-10,333.000000,334.782990,328.183014,328.950012,261.365875,2539329
2016-06-13,327.416992,337.649994,326.666992,336.217010,267.139832,3734100
2016-06-14,338.666992,339.000000,329.382996,330.382996,262.504486,3226785
2016-06-15,331.750000,337.933014,331.750000,337.000000,267.761932,2516670
2016-06-16,338.066986,340.000000,333.532990,337.166992,267.894623,3298608
2016-06-17,338.916992,339.916992,333.666992,334.983002,266.159363,2631132
2016-06-20,333.316986,337.500000,331.350006,334.933014,266.119659,1863789
2016-06-21,334.933014,337.399994,333.032990,336.183014,267.112854,2202597
2016-06-22,336.000000,337.850006,334.416992,336.450012,267.325012,2327880
2016-06-23,337.000000,343.500000,334.333008,341.282990,271.165039,2239926
2016-06-24,337.333008,341.467010,332.032990,337.816986,268.411102,3258312
2016-06-27,340.000000,348.967010,338.850006,346.066986,274.966095,4301535
2016-06-28,347.266998,351.367004,346.733002,350.566986,278.541565,3563907
2016-06-29,351.632996,353.532990,347.766998,351.450012,279.243164,2497464
2016-06-30,354.000000,359.333008,350.367004,357.382996,283.957214,7047534
2016-07-01,358.333008,367.433014,355.666992,363.983002,289.201202,3197589
2016-07-04,365.000000,370.000000,365.000000,368.717010,292.962585,5078118
2016-07-05,369.166992,372.600006,364.132996,365.983002,290.790283,5876130
2016-07-07,366.382996,373.666992,363.166992,371.367004,295.068146,7552701
2016-07-08,373.700012,374.632996,368.149994,371.566986,295.226990,8512599
2016-07-11,375.632996,383.333008,373.367004,377.766998,300.153229,9432867
2016-07-12,377.399994,385.333008,371.032990,373.516998,296.776398,11059899
2016-07-13,373.266998,375.333008,362.399994,363.733002,289.002563,5611342
2016-07-14,364.166992,370.967010,364.166992,368.933014,293.134216,2355451
2016-07-15,369.333008,371.933014,364.666992,369.833008,293.849304,3648285
2016-07-18,370.666992,375.166992,367.733002,370.766998,294.591400,2543923
2016-07-19,370.399994,382.666992,369.367004,381.433014,303.066040,4372432
2016-07-20,380.000000,388.666992,380.000000,383.000000,304.311096,3475419
2016-07-21,388.132996,393.733002,382.200012,384.166992,305.238281,4150452
2016-07-22,385.132996,389.967010,379.032990,388.799988,308.919434,2938803
2016-07-25,391.333008,401.233002,390.266998,395.666992,314.375610,4610001
2016-07-26,396.333008,400.566986,390.333008,392.233002,311.647156,3219046
2016-07-27,392.433014,397.566986,388.299988,392.333008,311.726593,3269878
2016-07-28,392.967010,395.266998,383.367004,389.200012,309.237305,6397185
2016-07-29,391.733002,398.000000,388.399994,395.100006,313.925110,2648415
2016-08-01,397.967010,402.333008,393.500000,396.399994,314.957977,3332542
2016-08-02,397.700012,399.799988,384.766998,386.233002,306.879852,4018000
